"2019-04-26,05:25:00",0.35146666666666665,0.0224,0,2,3
"2019-04-26,05:26:00",0.08,0.0384,0,2,4
"2019-04-26,05:27:00",0.11413333333333334,0.06506666666666666,0,3,5
"2019-04-26,05:28:00",0.15733333333333333,0.0136,0,2,4
"2019-04-26,05:29:00",0.0656,0.028666666666666667,0,1,2
"2019-04-26,05:30:00",0.22186666666666666,0.0,0,2,3
"2019-04-26,05:31:00",0.0656,0.0136,0,1,2
"2019-04-26,05:32:00",0.1056,0.05386666666666667,0,2,4
"2019-04-26,05:33:00",0.09786666666666667,0.0,0,2,3
"2019-04-26,05:34:00",0.35333333333333333,0.0248,0,2,4
"2019-04-26,05:35:00",12.0944,1.2990666666666666,0,4,6
"2019-04-26,05:36:00",0.05466666666666667,0.07626666666666666,0,3,4
"2019-04-26,05:37:00",0.0656,0.0136,0,1,2
"2019-04-26,05:38:00",0.15733333333333333,0.036,0,2,4
"2019-04-26,05:39:00",0.1664,0.05106666666666667,0,2,4
"2019-04-26,05:40:00",0.2650666666666667,0.0336,0,3,4
"2019-04-26,05:41:00",0.040266666666666666,0.029066666666666668,0,2,3
"2019-04-26,05:42:00",0.0776,0.0248,0,1,3
"2019-04-26,05:43:00",0.3874666666666667,0.036,0,3,5
"2019-04-26,05:44:00",0.0656,0.0136,0,1,2
"2019-04-26,05:45:00",0.09973333333333333,0.042666666666666665,0,2,4
"2019-04-26,05:46:00",0.0288,0.0336,0,2,2
"2019-04-26,05:47:00",0.0656,0.0272,0,1,2
"2019-04-26,05:48:00",0.09786666666666667,0.0224,0,2,3
"2019-04-26,05:49:00",0.1952,0.09586666666666667,0,2,4
"2019-04-26,05:50:00",0.32986666666666664,0.05386666666666667,0,4,6
"2019-04-26,05:51:00",0.0061333333333333335,0.0,0,1,1
"2019-04-26,05:52:00",0.30773333333333336,0.0248,0,2,5
"2019-04-26,05:53:00",0.18346666666666667,0.07333333333333333,0,3,5
"2019-04-26,05:54:00",0.09973333333333333,0.042666666666666665,0,2,4
"2019-04-26,05:55:00",0.08,0.0136,0,2,4
"2019-04-26,05:56:00",0.0656,0.0248,0,1,2
"2019-04-26,05:57:00",0.0061333333333333335,0.0136,0,1,1
"2019-04-26,05:58:00",0.18613333333333335,0.0472,0,3,5
"2019-04-26,05:59:00",0.43066666666666664,0.11373333333333334,0,4,6
"2019-04-26,06:00:00",0.0656,0.0248,0,1,2
"2019-04-26,06:01:00",0.0656,0.0136,0,1,2
"2019-04-26,06:02:00",0.23386666666666667,0.0112,0,2,4
"2019-04-26,06:03:00",0.132,0.05146666666666667,0,3,4
"2019-04-26,06:04:00",0.0061333333333333335,0.0,0,1,1
"2019-04-26,06:05:00",0.08,0.036,0,2,4
"2019-04-26,06:06:00",0.0656,0.0272,0,1,2
"2019-04-26,06:07:00",11.902666666666667,1.2326666666666666,0,3,4
"2019-04-26,06:08:00",0.2472,0.08506666666666667,0,4,5
"2019-04-26,06:09:00",0.25066666666666665,0.059866666666666665,0,3,4
"2019-04-26,06:10:00",0.44506666666666667,0.0136,0,2,3
"2019-04-26,06:11:00",0.0656,0.0136,0,1,2
"2019-04-26,06:12:00",0.268,0.040266666666666666,0,3,5
"2019-04-26,06:13:00",0.09786666666666667,0.0,0,2,3
"2019-04-26,06:14:00",0.0656,0.0136,0,1,2
"2019-04-26,06:15:00",0.020533333333333334,0.0224,0,2,3
"2019-04-26,06:16:00",0.0656,0.0272,0,1,2
"2019-04-26,06:17:00",0.040266666666666666,0.029066666666666668,0,2,3
"2019-04-26,06:18:00",0.4432,0.1008,0,4,5
"2019-04-26,06:19:00",0.08,0.03986666666666667,0,2,4
"2019-04-26,06:20:00",0.05946666666666667,0.0136,0,1,1
"2019-04-26,06:21:00",0.3154666666666667,0.042666666666666665,0,3,5
"2019-04-26,06:22:00",0.0776,0.0136,0,1,3
"2019-04-26,06:23:00",0.11786666666666666,0.05973333333333333,0,3,3
"2019-04-26,06:24:00",0.08,0.0248,0,2,4
"2019-04-26,06:25:00",0.0656,0.0136,0,1,2
"2019-04-26,06:26:00",0.0936,0.056266666666666666,0,2,3
"2019-04-26,06:27:00",0.1664,0.036,0,2,4
"2019-04-26,06:28:00",0.3568,0.0784,0,4,5
"2019-04-26,06:29:00",0.0656,0.028666666666666667,0,1,2
"2019-04-26,06:30:00",0.30933333333333335,0.042666666666666665,0,3,4
"2019-04-26,06:31:00",0.05946666666666667,0.0136,0,1,1
"2019-04-26,06:32:00",0.012,0.0112,0,1,1
"2019-04-26,06:33:00",0.09173333333333333,0.0224,0,2,2
"2019-04-26,06:34:00",0.020533333333333334,0.0112,0,2,3
"2019-04-26,06:35:00",0.040266666666666666,0.029066666666666668,0,2,3
"2019-04-26,06:36:00",0.0656,0.0272,0,1,2
"2019-04-26,06:37:00",0.4109333333333333,0.0696,0,3,5
"2019-04-26,06:38:00",11.998133333333334,1.2630666666666666,0,5,5
"2019-04-26,06:39:00",0.256,0.04413333333333333,0,3,4
"2019-04-26,06:40:00",0.0656,0.0136,0,1,2
"2019-04-26,06:41:00",0.0,0.0,0,0,0
"2019-04-26,06:42:00",0.012,0.0112,0,1,1
"2019-04-26,06:43:00",0.1512,0.036,0,2,3
"2019-04-26,06:44:00",0.04853333333333333,0.05146666666666667,0,3,3
"2019-04-26,06:45:00",0.0,0.0,0,0,0
"2019-04-26,06:46:00",0.0,0.0,0,0,0
"2019-04-26,06:47:00",0.3453333333333333,0.0784,0,3,3
"2019-04-26,06:48:00",0.20586666666666667,0.07866666666666666,0,4,6
"2019-04-26,06:49:00",0.21573333333333333,0.015066666666666667,0,2,2
"2019-04-26,06:50:00",0.0,0.0,0,0,0
"2019-04-26,06:51:00",0.0656,0.0136,0,1,2
"2019-04-26,06:52:00",0.012,0.0,0,1,1
"2019-04-26,06:53:00",0.0432,0.0168,0,1,1
"2019-04-26,06:54:00",0.0,0.0672,0,1,1
"2019-04-26,06:55:00",0.0,0.0,0,0,0
"2019-04-26,06:56:00",0.0504,0.0168,0,1,1
"2019-04-26,06:57:00",1.0206666666666666,0.556,0,8,16
"2019-04-26,06:58:00",3.3872,1.4246666666666667,0,8,16
"2019-04-26,06:59:00",0.048,0.03746666666666667,0,1,4
"2019-04-26,07:00:00",3.2116,1.2681333333333333,0,7,13
"2019-04-26,07:01:00",0.10746666666666667,0.036,0,1,5
"2019-04-26,07:02:00",0.1296,0.06186666666666667,0,3,5
"2019-04-26,07:03:00",0.17173333333333332,0.036,0,3,5
"2019-04-26,07:04:00",0.05946666666666667,0.0136,0,1,1
"2019-04-26,07:05:00",0.0,0.0,0,0,0
"2019-04-26,07:06:00",0.1296,0.0672,0,2,2
"2019-04-26,07:07:00",0.108,0.07466666666666667,0,3,4
"2019-04-26,07:08:00",0.3218666666666667,0.0448,0,4,4
"2019-04-26,07:09:00",0.05946666666666667,0.028666666666666667,0,1,1
"2019-04-26,07:10:00",12.610666666666667,1.2254666666666667,0,5,5
"2019-04-26,07:11:00",0.034133333333333335,0.042666666666666665,0,2,2
"2019-04-26,07:12:00",0.018133333333333335,0.0112,0,1,2
"2019-04-26,07:13:00",0.09173333333333333,0.0224,0,2,2
"2019-04-26,07:14:00",0.05946666666666667,0.0136,0,1,1
"2019-04-26,07:15:00",0.0576,0.0,0,2,2
"2019-04-26,07:16:00",0.11333333333333333,0.09626666666666667,0,3,3
"2019-04-26,07:17:00",0.0216,0.0224,0,2,2
"2019-04-26,07:18:00",0.36693333333333333,0.0496,0,3,4
"2019-04-26,07:19:00",0.22186666666666666,0.015066666666666667,0,2,3
"2019-04-26,07:20:00",0.0936,0.04986666666666666,0,2,3
"2019-04-26,07:21:00",0.0,0.0,0,0,0
"2019-04-26,07:22:00",0.07146666666666666,0.048,0,2,3
"2019-04-26,07:23:00",0.09173333333333333,0.0224,0,2,2
"2019-04-26,07:24:00",0.05946666666666667,0.0136,0,1,1
"2019-04-26,07:25:00",0.1152,0.0448,0,2,2
"2019-04-26,07:26:00",3.0292,1.3561333333333334,0,7,8
"2019-04-26,07:27:00",0.04053333333333333,0.07333333333333333,0,3,3
"2019-04-26,07:28:00",0.36693333333333333,0.0248,0,3,4
"2019-04-26,07:29:00",0.21573333333333333,0.015066666666666667,0,2,2
"2019-04-26,07:30:00",0.05946666666666667,0.0136,0,1,1
"2019-04-26,07:31:00",0.0936,0.029066666666666668,0,2,3
"2019-04-26,07:32:00",0.012,0.0248,0,1,1
"2019-04-26,07:33:00",0.09173333333333333,0.0224,0,2,2
"2019-04-26,07:34:00",0.0,0.0,0,0,0
"2019-04-26,07:35:00",0.2232,0.09866666666666667,0,3,4
"2019-04-26,07:36:00",0.0432,0.0224,0,3,3
"2019-04-26,07:37:00",0.0,0.0112,0,0,0
"2019-04-26,07:38:00",0.5232,0.0224,0,4,4
"2019-04-26,07:39:00",0.05946666666666667,0.04226666666666667,0,1,1
"2019-04-26,07:40:00",12.0,1.2537333333333334,0,4,5
"2019-04-26,07:41:00",0.05946666666666667,0.0136,0,1,1
"2019-04-26,07:42:00",0.012,0.0344,0,2,2
"2019-04-26,07:43:00",0.1512,0.0248,0,2,3
"2019-04-26,07:44:00",0.13493333333333332,0.05146666666666667,0,3,3
"2019-04-26,07:45:00",0.0432,0.0448,0,2,2
"2019-04-26,07:46:00",0.07386666666666666,0.0496,0,2,3
"2019-04-26,07:47:00",0.2752,0.0112,0,2,3
"2019-04-26,07:48:00",0.3136,0.036,0,3,4
"2019-04-26,07:49:00",0.034133333333333335,0.04413333333333333,0,2,2
"2019-04-26,07:50:00",0.05946666666666667,0.0136,0,1,1
"2019-04-26,07:51:00",0.05946666666666667,0.0136,0,1,1
"2019-04-26,07:52:00",0.012,0.0112,0,1,1
"2019-04-26,07:53:00",0.12586666666666665,0.040266666666666666,0,3,3
"2019-04-26,07:54:00",0.17466666666666666,0.0584,0,2,3
"2019-04-26,07:55:00",0.08,0.036,0,2,4
"2019-04-26,07:56:00",0.08,0.0496,0,2,4
"2019-04-26,07:57:00",0.4576,0.05973333333333333,0,4,4
"2019-04-26,07:58:00",0.132,0.029066666666666668,0,3,4
